ZXR1500,50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9020,28, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male
ZXR9021,54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR9022,29, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9023,49, Private, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, Black, Female
ZXR9024,46, Private, 11th,7, Widowed, Other-service, Not-in-family, White, Female
ZXR9025,71, Self-emp-not-inc, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9026,27, Private, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR9027,56, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR9028,64, Private, HS-grad,9, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male
ZXR9029,23, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female
ZXR9030,36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9031,39, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9032,26, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male
ZXR9033,31, Federal-gov, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR9034,36, Private, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female
ZXR9035,43, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9036,25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR9037,27, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9038,24, Private, 12th,8, Never-married, Sales, Not-in-family, White, Male
ZXR9039,50, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR9040,30, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9041,24, Private, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male
ZXR9042,41, Local-gov, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female
ZXR9043,29, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male
ZXR9044,31, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9045,54, Private, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female
ZXR9046,20, Private, 11th,7, Married-civ-spouse, Sales, Other-relative, White, Female
ZXR9047,37, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male
ZXR9048,28, Local-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male
ZXR9049,39, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female
ZXR9050,46, State-gov, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female
ZXR9051,35, Private, Bachelors,13, Separated, Exec-managerial, Unmarried, White, Female
ZXR9052,36, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR9053,34, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male
ZXR9054,44, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9055,34, Self-emp-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male
ZXR9056,28, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
ZXR9057,38, Self-emp-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9058,64, ?, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male
ZXR9059,19, ?, Some-college,10, Never-married, ?, Own-child, White, Female
ZXR9060,35, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
ZXR9061,61, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR9062,45, Private, Some-college,10, Divorced, Sales, Unmarried, White, Female
ZXR9063,36, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male
ZXR9064,34, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Male
ZXR9065,27, Private, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male
ZXR9066,22, Private, 10th,6, Never-married, Craft-repair, Unmarried, White, Male
ZXR9067,26, Private, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female
ZXR9068,19, Private, 11th,7, Never-married, Other-service, Other-relative, White, Female
ZXR9069,36, Private, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White, Male
ZXR9070,51, Private, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male
ZXR9071,63, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9072,51, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR9073,20, State-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female
ZXR9074,42, Self-emp-not-inc, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9075,40, ?, Bachelors,13, Never-married, ?, Own-child, White, Female
ZXR9076,25, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9077,40, Private, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female
ZXR9078,41, ?, Bachelors,13, Married-civ-spouse, ?, Wife, White, Female
ZXR9079,49, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male
ZXR9080,46, Private, HS-grad,9, Separated, Machine-op-inspct, Own-child, Black, Female
ZXR9081,32, Self-emp-not-inc, HS-grad,9, Separated, Sales, Not-in-family, White, Male
ZXR9082,28, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male
ZXR9083,19, ?, HS-grad,9, Never-married, ?, Other-relative, Black, Male
ZXR9084,19, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female
ZXR9085,18, Private, 11th,7, Never-married, Adm-clerical, Own-child, Black, Male
ZXR9086,39, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male
ZXR9087,60, Self-emp-not-inc, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR9088,46, Local-gov, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR9089,38, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female
ZXR9090,36, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9091,45, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR9092,60, State-gov, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR9093,30, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9094,22, Private, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female
ZXR9095,23, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male
ZXR9096,48, State-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black, Female
ZXR9097,46, Private, HS-grad,9, Married-civ-spouse, Other-service, Own-child, White, Female
ZXR9098,43, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9099,25, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Own-child, Other, Male
ZXR9100,50, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male
ZXR9101,61, Self-emp-inc, HS-grad,9, Divorced, Sales, Not-in-family, White, Male
ZXR9102,35, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male
ZXR9103,65, Local-gov, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female
ZXR9104,56, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male
ZXR9105,43, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female
ZXR9106,55, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male
ZXR9107,22, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female
ZXR9108,40, Private, Some-college,10, Divorced, Machine-op-inspct, Own-child, White, Male
ZXR9109,35, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR9110,22, ?, Some-college,10, Never-married, ?, Own-child, White, Male
ZXR9111,20, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9112,46, Local-gov, 12th,8, Married-civ-spouse, Other-service, Husband, White, Male
ZXR9113,43, Private, HS-grad,9, Separated, Transport-moving, Unmarried, White, Male
ZXR9114,46, Federal-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female
ZXR9115,39, Private, 11th,7, Married-civ-spouse, Other-service, Husband, Black, Male
ZXR9116,34, Private, HS-grad,9, Never-married, Exec-managerial, Unmarried, White, Female
ZXR9117,35, Private, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female
ZXR9118,30, Private, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Male
ZXR9119,25, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male
ZXR9120,44, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9121,35, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female
ZXR9122,41, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
ZXR9123,43, Federal-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR9124,32, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR9125,50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9126,20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female
ZXR9127,29, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female
ZXR9128,38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9129,20, Private, 10th,6, Never-married, Handlers-cleaners, Unmarried, White, Male
ZXR9130,41, Private, HS-grad,9, Never-married, Sales, Unmarried, Black, Female
ZXR9131,27, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female
ZXR9132,37, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9133,62, State-gov, Masters,14, Separated, Prof-specialty, Unmarried, White, Female
ZXR9134,31, Private, 10th,6, Divorced, Other-service, Not-in-family, White, Male
ZXR9135,49, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female
ZXR9136,33, Local-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Female
ZXR9137,31, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9138,19, Private, Some-college,10, Never-married, Other-service, Other-relative, White, Female
ZXR9139,44, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9140,31, Self-emp-inc, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male
ZXR9141,62, Private, HS-grad,9, Widowed, Farming-fishing, Unmarried, White, Female
ZXR9142,65, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9143,17, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male
ZXR9144,60, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male
ZXR9145,31, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9146,29, Private, Some-college,10, Never-married, Other-service, Unmarried, Black, Female
ZXR9147,53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9148,44, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR9149,43, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male
ZXR9150,40, Federal-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9151,18, Private, 11th,7, Never-married, Sales, Own-child, Black, Female
ZXR9152,47, Private, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female
ZXR9153,38, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9154,37, Private, Assoc-acdm,12, Married-civ-spouse, Other-service, Wife, White, Female
ZXR9155,40, Private, Some-college,10, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Female
ZXR9156,57, Self-emp-inc, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, Black, Male
ZXR9157,43, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female
ZXR9158,32, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Other, Male
ZXR9159,64, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR9160,18, Private, 12th,8, Never-married, Sales, Own-child, White, Female
ZXR9161,40, Self-emp-not-inc, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male
ZXR9162,17, ?, 11th,7, Never-married, ?, Own-child, Black, Female
ZXR9163,23, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male
ZXR9164,45, Private, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, Black, Female
ZXR9165,45, Self-emp-not-inc, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR9166,27, Private, 10th,6, Never-married, Other-service, Not-in-family, White, Male
ZXR9167,23, Private, Some-college,10, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male
ZXR9168,58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male
ZXR9169,35, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female
ZXR9170,47, Private, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Male
ZXR9171,33, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9172,27, Private, Bachelors,13, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male
ZXR9173,46, Private, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9174,24, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9175,40, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9176,44, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female
ZXR9177,31, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR9178,37, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR9179,23, Private, Assoc-voc,11, Separated, Exec-managerial, Own-child, White, Female
ZXR9180,30, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
ZXR9181,31, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male
ZXR9182,24, ?, HS-grad,9, Never-married, ?, Not-in-family, White, Female
ZXR9183,32, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9184,27, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male
ZXR9185,35, Local-gov, HS-grad,9, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male
ZXR9186,27, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male
ZXR9187,30, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
ZXR9188,33, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male
ZXR9189,34, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9190,29, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9191,26, Local-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR9192,39, Self-emp-not-inc, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male
ZXR9193,37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9194,51, Private, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female
ZXR9195,40, Private, Some-college,10, Separated, Craft-repair, Unmarried, White, Male
ZXR9196,53, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
ZXR9197,58, Federal-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male
ZXR9198,29, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR9199,33, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male
ZXR9200,57, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9201,69, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR9202,20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female
ZXR9203,56, Private, HS-grad,9, Widowed, Sales, Unmarried, White, Female
ZXR9204,49, Private, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9205,34, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9206,70, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9207,44, Private, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female
ZXR9208,37, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male
ZXR9209,58, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9210,42, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Prof-specialty, Own-child, White, Female
ZXR9211,41, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
ZXR9212,28, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR9213,47, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9214,24, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female
ZXR9215,58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male
ZXR9216,18, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female
ZXR9217,50, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9218,69, Private, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female
ZXR9219,84, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male
ZXR9220,47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9221,19, Private, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male
ZXR9222,24, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black, Male
ZXR9223,48, ?, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male
ZXR9224,53, Private, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male
ZXR9225,58, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR9226,22, Private, Some-college,10, Never-married, Handlers-cleaners, Other-relative, White, Male
ZXR9227,36, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9228,34, Private, 12th,8, Never-married, Adm-clerical, Unmarried, White, Female
ZXR9229,43, Private, 1st-4th,2, Widowed, Prof-specialty, Unmarried, White, Female
ZXR9230,37, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
ZXR9231,43, Private, Prof-school,15, Separated, Tech-support, Not-in-family, White, Male
ZXR9232,42, Private, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female
ZXR9233,21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male
ZXR9234,49, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
ZXR9235,35, Private, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, Black, Male
ZXR9236,49, Self-emp-not-inc, Some-college,10, Widowed, Craft-repair, Unmarried, White, Female
ZXR9237,28, Private, Some-college,10, Never-married, Other-service, Not-in-family, Black, Male
ZXR9238,51, Private, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9239,30, ?, Bachelors,13, Never-married, ?, Not-in-family, White, Female
ZXR9240,19, Private, 7th-8th,4, Never-married, Other-service, Not-in-family, White, Male
ZXR9241,56, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male
ZXR9242,20, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male
ZXR9243,22, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female
ZXR9244,33, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9245,54, ?, HS-grad,9, Divorced, ?, Other-relative, White, Male
ZXR9246,22, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male
ZXR9247,68, Private, Some-college,10, Divorced, Priv-house-serv, Other-relative, White, Female
ZXR9248,56, Local-gov, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female
ZXR9249,23, ?, HS-grad,9, Never-married, ?, Not-in-family, White, Male
ZXR9250,69, Self-emp-not-inc, 9th,5, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR9251,41, Private, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male
ZXR9252,33, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Female
ZXR9253,18, Private, 11th,7, Never-married, Sales, Own-child, White, Female
ZXR9254,17, Private, 11th,7, Never-married, Other-service, Own-child, Black, Male
ZXR9255,31, Private, 11th,7, Divorced, Handlers-cleaners, Other-relative, Black, Male
ZXR9256,50, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR9257,62, Private, 10th,6, Widowed, Handlers-cleaners, Not-in-family, White, Female
ZXR9258,41, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female
ZXR9259,20, Federal-gov, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female
ZXR9260,23, Private, Assoc-acdm,12, Never-married, Sales, Own-child, White, Male
ZXR9261,18, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male
ZXR9262,53, ?, 7th-8th,4, Separated, ?, Not-in-family, White, Male
ZXR9263,42, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9264,23, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male
ZXR9265,43, Private, HS-grad,9, Divorced, Adm-clerical, Other-relative, White, Female
ZXR9266,47, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
ZXR9267,53, Local-gov, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male
ZXR9268,28, Private, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White, Male
ZXR9269,28, State-gov, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR9270,44, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9271,58, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9272,25, ?, 7th-8th,4, Never-married, ?, Not-in-family, White, Female
ZXR9273,26, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Female
ZXR9274,36, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR9275,27, Private, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female
ZXR9276,39, Private, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9277,25, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9278,17, Private, 11th,7, Never-married, Other-service, Own-child, White, Female
ZXR9279,39, Private, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male
ZXR9280,52, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9281,24, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Female
ZXR9282,26, Self-emp-not-inc, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR9283,24, ?, Bachelors,13, Never-married, ?, Not-in-family, White, Female
ZXR9284,32, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
ZXR9285,49, Local-gov, Masters,14, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR9286,20, ?, Some-college,10, Never-married, ?, Other-relative, White, Female
ZXR9287,40, Private, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR9288,52, Private, Prof-school,15, Divorced, Exec-managerial, Not-in-family, White, Male
ZXR9289,33, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male
ZXR9290,19, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male
ZXR9291,37, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9292,21, State-gov, Some-college,10, Never-married, Tech-support, Own-child, White, Female
ZXR9293,33, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male
ZXR9294,28, Private, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR9295,48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR9296,43, Private, Bachelors,13, Separated, Tech-support, Not-in-family, White, Male
ZXR9297,32, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR9298,28, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male
ZXR9299,47, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male
ZXR9300,37, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR9301,26, Private, Some-college,10, Separated, Sales, Other-relative, Black, Male
ZXR9302,55, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male
ZXR9303,40, Private, Assoc-acdm,12, Divorced, Sales, Unmarried, White, Female
ZXR9304,31, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9305,39, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male
ZXR9306,54, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR9307,38, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male
ZXR9308,53, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR9309,27, Self-emp-not-inc, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR9310,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR9311,62, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female
ZXR9312,47, Private, 11th,7, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR9313,26, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female
ZXR9314,33, ?, HS-grad,9, Never-married, ?, Unmarried, Black, Female
ZXR9315,59, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male
ZXR9316,42, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR9317,25, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR9318,58, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male
ZXR9319,30, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female
ZXR9320,21, Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Female
ZXR9321,61, Private, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR9322,33, Private, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
ZXR9323,51, Private, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male
